#name network latitude longitude useless depth
STA_80_-100 A 80 -100 0 0
STA_80_-90 A 80 -90 0 0
STA_80_-80 A 80 -80 0 0
STA_80_-70 A 80 -70 0 0
STA_80_-60 A 80 -60 0 0
STA_80_-50 A 80 -50 0 0
STA_80_-40 A 80 -40 0 0
STA_80_-30 A 80 -30 0 0
STA_80_-20 A 80 -20 0 0
STA_80_-10 A 80 -10 0 0
STA_80_0 A 80 0 0 0
STA_80_10 A 80 10 0 0
STA_80_20 A 80 20 0 0
STA_80_30 A 80 30 0 0
STA_80_40 A 80 40 0 0
STA_80_50 A 80 50 0 0
STA_80_60 A 80 60 0 0
STA_80_70 A 80 70 0 0
STA_80_80 A 80 80 0 0
STA_80_90 A 80 90 0 0
STA_80_100 A 80 100 0 0
STA_80_110 A 80 110 0 0
STA_80_120 A 80 120 0 0
STA_80_130 A 80 130 0 0
STA_80_140 A 80 140 0 0
STA_80_150 A 80 150 0 0
STA_80_160 A 80 160 0 0
STA_80_170 A 80 170 0 0
STA_80_180 A 80 180 0 0
STA_90_-180 A 90 -180 0 0
STA_90_-170 A 90 -170 0 0
STA_90_-160 A 90 -160 0 0
STA_90_-150 A 90 -150 0 0
STA_90_-140 A 90 -140 0 0
STA_90_-130 A 90 -130 0 0
STA_90_-120 A 90 -120 0 0
STA_90_-110 A 90 -110 0 0
STA_90_-100 A 90 -100 0 0
STA_90_-90 A 90 -90 0 0
STA_90_-80 A 90 -80 0 0
STA_90_-70 A 90 -70 0 0
STA_90_-60 A 90 -60 0 0
STA_90_-50 A 90 -50 0 0
STA_90_-40 A 90 -40 0 0
STA_90_-30 A 90 -30 0 0
STA_90_-20 A 90 -20 0 0
STA_90_-10 A 90 -10 0 0
STA_90_0 A 90 0 0 0
STA_90_10 A 90 10 0 0
STA_90_20 A 90 20 0 0
STA_90_30 A 90 30 0 0
STA_90_40 A 90 40 0 0
STA_90_50 A 90 50 0 0
STA_90_60 A 90 60 0 0
STA_90_70 A 90 70 0 0
STA_90_80 A 90 80 0 0
STA_90_90 A 90 90 0 0
STA_90_100 A 90 100 0 0
STA_90_110 A 90 110 0 0
STA_90_120 A 90 120 0 0
STA_90_130 A 90 130 0 0
STA_90_140 A 90 140 0 0
STA_90_150 A 90 150 0 0
STA_90_160 A 90 160 0 0
STA_90_170 A 90 170 0 0
STA_90_180 A 90 180 0 0
